SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-13 19:45:36.213698,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-49
1,DC:A6:32:55:FC:D8,2020-07-13 19:45:38.218747,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
2,DC:A6:32:55:FC:D8,2020-07-13 19:45:40.223753,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52
3,DC:A6:32:55:FC:D8,2020-07-13 19:45:42.228743,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-48
4,DC:A6:32:55:FC:D8,2020-07-13 19:45:44.233696,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52
5,DC:A6:32:55:FC:D8,2020-07-13 19:45:46.238881,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-50
6,DC:A6:32:55:FC:D8,2020-07-13 19:45:48.243724,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-50
7,DC:A6:32:55:FC:D8,2020-07-13 19:45:50.248914,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-50
8,DC:A6:32:55:FC:D8,2020-07-13 19:45:52.253917,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51
9,DC:A6:32:55:FC:D8,2020-07-13 19:45:53.516382,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-53
10,DC:A6:32:55:FC:D8,2020-07-13 19:45:54.042604,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52
11,DC:A6:32:55:FC:D8,2020-07-13 19:45:56.047750,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-54
12,DC:A6:32:55:FC:D8,2020-07-13 19:45:58.052704,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51
13,DC:A6:32:55:FC:D8,2020-07-13 19:45:59.255132,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-54
14,DC:A6:32:55:FC:D8,2020-07-13 19:46:01.260389,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52
15,DC:A6:32:55:FC:D8,2020-07-13 19:46:03.268636,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-53
16,DC:A6:32:55:FC:D8,2020-07-13 19:46:05.274199,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52
17,DC:A6:32:55:FC:D8,2020-07-13 19:46:07.279116,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52
18,DC:A6:32:55:FC:D8,2020-07-13 19:46:09.284201,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-54
19,DC:A6:32:55:FC:D8,2020-07-13 19:46:11.289242,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52
20,DC:A6:32:55:FC:D8,2020-07-13 19:46:13.294125,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52
21,DC:A6:32:55:FC:D8,2020-07-13 19:46:15.299301,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-52
22,DC:A6:32:55:FC:D8,2020-07-13 19:46:17.304248,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-54
23,DC:A6:32:55:FC:D8,2020-07-13 19:46:18.326705,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-53
24,DC:A6:32:55:FC:D8,2020-07-13 19:46:19.403584,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-57
25,DC:A6:32:55:FC:D8,2020-07-13 19:46:21.409403,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-45
26,DC:A6:32:55:FC:D8,2020-07-13 19:46:23.414269,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-44
27,DC:A6:32:55:FC:D8,2020-07-13 19:46:24.139250,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-46
28,DC:A6:32:55:FC:D8,2020-07-13 19:46:26.144457,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
29,DC:A6:32:55:FC:D8,2020-07-13 19:46:27.758182,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
30,DC:A6:32:55:FC:D8,2020-07-13 19:46:28.026842,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
31,DC:A6:32:55:FC:D8,2020-07-13 19:46:30.032026,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-47
32,DC:A6:32:55:FC:D8,2020-07-13 19:46:31.016998,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-48
33,DC:A6:32:55:FC:D8,2020-07-13 19:46:33.025646,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-49
34,DC:A6:32:55:FC:D8,2020-07-13 19:46:35.030884,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-48
