SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 15:58:24.029314,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
1,DC:A6:32:55:FC:D8,2020-07-12 15:58:26.034821,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-76,5.0
2,DC:A6:32:55:FC:D8,2020-07-12 15:58:28.039727,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-81,5.0
3,DC:A6:32:55:FC:D8,2020-07-12 15:58:29.854657,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
4,DC:A6:32:55:FC:D8,2020-07-12 15:58:30.005933,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
5,DC:A6:32:55:FC:D8,2020-07-12 15:58:32.010952,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-82,5.0
6,DC:A6:32:55:FC:D8,2020-07-12 15:58:33.202174,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-79,5.0
7,DC:A6:32:55:FC:D8,2020-07-12 15:58:35.162916,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
8,DC:A6:32:55:FC:D8,2020-07-12 15:58:37.062742,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
9,DC:A6:32:55:FC:D8,2020-07-12 15:58:38.691610,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
10,DC:A6:32:55:FC:D8,2020-07-12 15:58:40.697232,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-75,5.0
11,DC:A6:32:55:FC:D8,2020-07-12 15:58:42.702179,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
12,DC:A6:32:55:FC:D8,2020-07-12 15:58:43.853431,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
13,DC:A6:32:55:FC:D8,2020-07-12 15:58:44.092027,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-82,5.0
14,DC:A6:32:55:FC:D8,2020-07-12 15:58:46.029067,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
15,DC:A6:32:55:FC:D8,2020-07-12 15:58:48.034645,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
16,DC:A6:32:55:FC:D8,2020-07-12 15:58:49.220931,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78,5.0
17,DC:A6:32:55:FC:D8,2020-07-12 15:58:50.149065,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-80,5.0
18,DC:A6:32:55:FC:D8,2020-07-12 15:58:52.153401,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-82,5.0
19,DC:A6:32:55:FC:D8,2020-07-12 15:58:53.361574,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-81,5.0
20,DC:A6:32:55:FC:D8,2020-07-12 15:58:55.367238,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-81,5.0
21,DC:A6:32:55:FC:D8,2020-07-12 15:58:56.082109,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78,5.0
22,DC:A6:32:55:FC:D8,2020-07-12 15:58:57.264618,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78,5.0
23,DC:A6:32:55:FC:D8,2020-07-12 15:58:59.269692,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78,5.0
24,DC:A6:32:55:FC:D8,2020-07-12 15:59:00.694795,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-82,5.0
25,DC:A6:32:55:FC:D8,2020-07-12 15:59:02.091013,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
26,DC:A6:32:55:FC:D8,2020-07-12 15:59:04.095925,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-81,5.0
27,DC:A6:32:55:FC:D8,2020-07-12 15:59:06.100998,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-82,5.0
28,DC:A6:32:55:FC:D8,2020-07-12 15:59:08.105955,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-79,5.0
29,DC:A6:32:55:FC:D8,2020-07-12 15:59:10.110975,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
30,DC:A6:32:55:FC:D8,2020-07-12 15:59:11.195943,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
31,DC:A6:32:55:FC:D8,2020-07-12 15:59:13.200926,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78,5.0
32,DC:A6:32:55:FC:D8,2020-07-12 15:59:15.206001,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
33,DC:A6:32:55:FC:D8,2020-07-12 15:59:17.210973,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
34,DC:A6:32:55:FC:D8,2020-07-12 15:59:19.215980,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
35,DC:A6:32:55:FC:D8,2020-07-12 15:59:20.717240,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77,5.0
36,DC:A6:32:55:FC:D8,2020-07-12 15:59:21.120252,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-80,5.0
37,DC:A6:32:55:FC:D8,2020-07-12 15:59:22.167779,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78,5.0
38,DC:A6:32:55:FC:D8,2020-07-12 15:59:23.092245,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-81,5.0
