SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 18:07:14.056106,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-81,4.0
1,DC:A6:32:55:FC:D8,2020-07-12 18:07:16.060582,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72,4.0
2,DC:A6:32:55:FC:D8,2020-07-12 18:07:17.052976,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-85,4.0
3,DC:A6:32:55:FC:D8,2020-07-12 18:07:19.058104,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-89,4.0
4,DC:A6:32:55:FC:D8,2020-07-12 18:07:21.063026,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,4.0
5,DC:A6:32:55:FC:D8,2020-07-12 18:07:22.314259,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72,4.0
6,DC:A6:32:55:FC:D8,2020-07-12 18:07:23.380535,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-77,4.0
7,DC:A6:32:55:FC:D8,2020-07-12 18:07:24.041818,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72,4.0
8,DC:A6:32:55:FC:D8,2020-07-12 18:07:26.046851,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,4.0
9,DC:A6:32:55:FC:D8,2020-07-12 18:07:28.051985,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,4.0
10,DC:A6:32:55:FC:D8,2020-07-12 18:07:30.056935,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-76,4.0
11,DC:A6:32:55:FC:D8,2020-07-12 18:07:32.061939,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-89,4.0
12,DC:A6:32:55:FC:D8,2020-07-12 18:07:34.066976,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,4.0
13,DC:A6:32:55:FC:D8,2020-07-12 18:07:35.685051,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-86,4.0
14,DC:A6:32:55:FC:D8,2020-07-12 18:07:36.023685,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-86,4.0
15,DC:A6:32:55:FC:D8,2020-07-12 18:07:37.312564,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74,4.0
16,DC:A6:32:55:FC:D8,2020-07-12 18:07:38.299560,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-75,4.0
