SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-13 20:35:43.050082,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-84,2.5
1,DC:A6:32:55:FC:D8,2020-07-13 20:35:44.275977,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87,2.5
2,DC:A6:32:55:FC:D8,2020-07-13 20:35:45.355254,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87,2.5
3,DC:A6:32:55:FC:D8,2020-07-13 20:35:46.098692,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,2.5
4,DC:A6:32:55:FC:D8,2020-07-13 20:35:47.143992,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-89,2.5
5,DC:A6:32:55:FC:D8,2020-07-13 20:35:48.075405,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,2.5
6,DC:A6:32:55:FC:D8,2020-07-13 20:35:50.079700,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-93,2.5
7,DC:A6:32:55:FC:D8,2020-07-13 20:35:51.080692,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
8,DC:A6:32:55:FC:D8,2020-07-13 20:35:52.276239,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
9,DC:A6:32:55:FC:D8,2020-07-13 20:35:53.566953,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,2.5
10,DC:A6:32:55:FC:D8,2020-07-13 20:35:54.344330,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,2.5
11,DC:A6:32:55:FC:D8,2020-07-13 20:35:55.022872,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
12,DC:A6:32:55:FC:D8,2020-07-13 20:35:56.392897,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-92,2.5
13,DC:A6:32:55:FC:D8,2020-07-13 20:35:57.742758,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,2.5
14,DC:A6:32:55:FC:D8,2020-07-13 20:35:58.222699,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,2.5
15,DC:A6:32:55:FC:D8,2020-07-13 20:35:59.018357,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,2.5
16,DC:A6:32:55:FC:D8,2020-07-13 20:36:00.235908,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87,2.5
17,DC:A6:32:55:FC:D8,2020-07-13 20:36:01.022944,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
18,DC:A6:32:55:FC:D8,2020-07-13 20:36:02.371559,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,2.5
19,DC:A6:32:55:FC:D8,2020-07-13 20:36:04.007519,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-84,2.5
20,DC:A6:32:55:FC:D8,2020-07-13 20:36:06.003762,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-83,2.5
21,DC:A6:32:55:FC:D8,2020-07-13 20:36:07.322581,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,2.5
22,DC:A6:32:55:FC:D8,2020-07-13 20:36:08.694459,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-83,2.5
23,DC:A6:32:55:FC:D8,2020-07-13 20:36:09.130067,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-90,2.5
24,DC:A6:32:55:FC:D8,2020-07-13 20:36:10.049613,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,2.5
25,DC:A6:32:55:FC:D8,2020-07-13 20:36:11.232640,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-83,2.5
26,DC:A6:32:55:FC:D8,2020-07-13 20:36:12.341455,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
27,DC:A6:32:55:FC:D8,2020-07-13 20:36:13.162826,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,2.5
28,DC:A6:32:55:FC:D8,2020-07-13 20:36:14.167757,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,2.5
29,DC:A6:32:55:FC:D8,2020-07-13 20:36:15.085977,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-84,2.5
30,DC:A6:32:55:FC:D8,2020-07-13 20:36:16.600908,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-94,2.5
31,DC:A6:32:55:FC:D8,2020-07-13 20:36:17.099066,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,2.5
32,DC:A6:32:55:FC:D8,2020-07-13 20:36:18.114835,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-96,2.5
33,DC:A6:32:55:FC:D8,2020-07-13 20:36:19.032927,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-94,2.5
34,DC:A6:32:55:FC:D8,2020-07-13 20:36:20.054316,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-94,2.5
35,DC:A6:32:55:FC:D8,2020-07-13 20:36:21.489466,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87,2.5
36,DC:A6:32:55:FC:D8,2020-07-13 20:36:23.494485,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
37,DC:A6:32:55:FC:D8,2020-07-13 20:36:24.061278,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,2.5
38,DC:A6:32:55:FC:D8,2020-07-13 20:36:25.245236,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,2.5
39,DC:A6:32:55:FC:D8,2020-07-13 20:36:27.249644,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
40,DC:A6:32:55:FC:D8,2020-07-13 20:36:29.093646,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
41,DC:A6:32:55:FC:D8,2020-07-13 20:36:30.294999,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-88,2.5
42,DC:A6:32:55:FC:D8,2020-07-13 20:36:31.271159,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87,2.5
43,DC:A6:32:55:FC:D8,2020-07-13 20:36:32.309983,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-85,2.5
44,DC:A6:32:55:FC:D8,2020-07-13 20:36:34.101458,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,2.5
45,DC:A6:32:55:FC:D8,2020-07-13 20:36:35.436094,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
46,DC:A6:32:55:FC:D8,2020-07-13 20:36:36.091572,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-86,2.5
47,DC:A6:32:55:FC:D8,2020-07-13 20:36:37.509228,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-87,2.5
48,DC:A6:32:55:FC:D8,2020-07-13 20:36:38.186062,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-92,2.5
49,DC:A6:32:55:FC:D8,2020-07-13 20:36:39.013080,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-91,2.5
50,DC:A6:32:55:FC:D8,2020-07-13 20:36:41.018413,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-89,2.5
51,DC:A6:32:55:FC:D8,2020-07-13 20:36:42.085891,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-94,2.5
