SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 17:09:46.020086,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-65,1.5
1,DC:A6:32:55:FC:D8,2020-07-12 17:09:47.156767,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69,1.5
2,DC:A6:32:55:FC:D8,2020-07-12 17:09:49.161789,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69,1.5
3,DC:A6:32:55:FC:D8,2020-07-12 17:09:51.166890,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,1.5
4,DC:A6:32:55:FC:D8,2020-07-12 17:09:53.171887,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68,1.5
5,DC:A6:32:55:FC:D8,2020-07-12 17:09:55.176945,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68,1.5
6,DC:A6:32:55:FC:D8,2020-07-12 17:09:57.181829,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68,1.5
7,DC:A6:32:55:FC:D8,2020-07-12 17:09:59.186923,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69,1.5
8,DC:A6:32:55:FC:D8,2020-07-12 17:10:01.192038,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68,1.5
9,DC:A6:32:55:FC:D8,2020-07-12 17:10:03.198362,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68,1.5
10,DC:A6:32:55:FC:D8,2020-07-12 17:10:05.203261,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69,1.5
11,DC:A6:32:55:FC:D8,2020-07-12 17:10:07.208270,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67,1.5
12,DC:A6:32:55:FC:D8,2020-07-12 17:10:09.213198,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69,1.5
13,DC:A6:32:55:FC:D8,2020-07-12 17:10:11.218295,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67,1.5
14,DC:A6:32:55:FC:D8,2020-07-12 17:10:13.069501,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66,1.5
15,DC:A6:32:55:FC:D8,2020-07-12 17:10:15.074592,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67,1.5
16,DC:A6:32:55:FC:D8,2020-07-12 17:10:16.130763,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69,1.5
17,DC:A6:32:55:FC:D8,2020-07-12 17:10:18.156136,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66,1.5
18,DC:A6:32:55:FC:D8,2020-07-12 17:10:20.162144,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5
19,DC:A6:32:55:FC:D8,2020-07-12 17:10:22.167116,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66,1.5
20,DC:A6:32:55:FC:D8,2020-07-12 17:10:23.134569,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,1.5
21,DC:A6:32:55:FC:D8,2020-07-12 17:10:25.139721,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,1.5
22,DC:A6:32:55:FC:D8,2020-07-12 17:10:27.144673,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,1.5
23,DC:A6:32:55:FC:D8,2020-07-12 17:10:29.149727,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,1.5
24,DC:A6:32:55:FC:D8,2020-07-12 17:10:31.154798,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66,1.5
25,DC:A6:32:55:FC:D8,2020-07-12 17:10:33.159757,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69,1.5
26,DC:A6:32:55:FC:D8,2020-07-12 17:10:35.164924,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5
27,DC:A6:32:55:FC:D8,2020-07-12 17:10:37.169852,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5
28,DC:A6:32:55:FC:D8,2020-07-12 17:10:38.485484,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68,1.5
29,DC:A6:32:55:FC:D8,2020-07-12 17:10:39.834880,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72,1.5
30,DC:A6:32:55:FC:D8,2020-07-12 17:10:40.014780,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5
31,DC:A6:32:55:FC:D8,2020-07-12 17:10:42.019923,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5
32,DC:A6:32:55:FC:D8,2020-07-12 17:10:44.024923,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66,1.5
