SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 20:40:22.660748,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-63
1,DC:A6:32:55:FC:D8,2020-07-12 20:40:24.665835,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
2,DC:A6:32:55:FC:D8,2020-07-12 20:40:25.030459,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64
3,DC:A6:32:55:FC:D8,2020-07-12 20:40:26.147327,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
4,DC:A6:32:55:FC:D8,2020-07-12 20:40:28.152531,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
5,DC:A6:32:55:FC:D8,2020-07-12 20:40:30.157576,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
6,DC:A6:32:55:FC:D8,2020-07-12 20:40:32.162788,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
7,DC:A6:32:55:FC:D8,2020-07-12 20:40:33.204726,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
8,DC:A6:32:55:FC:D8,2020-07-12 20:40:34.512677,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
9,DC:A6:32:55:FC:D8,2020-07-12 20:40:35.076081,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
10,DC:A6:32:55:FC:D8,2020-07-12 20:40:37.081587,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
11,DC:A6:32:55:FC:D8,2020-07-12 20:40:39.086948,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
12,DC:A6:32:55:FC:D8,2020-07-12 20:40:41.092103,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64
13,DC:A6:32:55:FC:D8,2020-07-12 20:40:43.097234,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64
14,DC:A6:32:55:FC:D8,2020-07-12 20:40:45.102132,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64
15,DC:A6:32:55:FC:D8,2020-07-12 20:40:46.208967,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
16,DC:A6:32:55:FC:D8,2020-07-12 20:40:48.213821,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
17,DC:A6:32:55:FC:D8,2020-07-12 20:40:50.219704,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
18,DC:A6:32:55:FC:D8,2020-07-12 20:40:52.225607,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
19,DC:A6:32:55:FC:D8,2020-07-12 20:40:53.859818,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
20,DC:A6:32:55:FC:D8,2020-07-12 20:40:54.016202,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
21,DC:A6:32:55:FC:D8,2020-07-12 20:40:56.021842,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
22,DC:A6:32:55:FC:D8,2020-07-12 20:40:58.026292,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
23,DC:A6:32:55:FC:D8,2020-07-12 20:41:00.031694,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
24,DC:A6:32:55:FC:D8,2020-07-12 20:41:02.037198,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-63
25,DC:A6:32:55:FC:D8,2020-07-12 20:41:03.496345,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64
26,DC:A6:32:55:FC:D8,2020-07-12 20:41:04.043704,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
27,DC:A6:32:55:FC:D8,2020-07-12 20:41:05.473955,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
28,DC:A6:32:55:FC:D8,2020-07-12 20:41:07.479283,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64
29,DC:A6:32:55:FC:D8,2020-07-12 20:41:08.199866,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
30,DC:A6:32:55:FC:D8,2020-07-12 20:41:09.058102,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-54
31,DC:A6:32:55:FC:D8,2020-07-12 20:41:11.063294,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64
32,DC:A6:32:55:FC:D8,2020-07-12 20:41:13.068467,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
33,DC:A6:32:55:FC:D8,2020-07-12 20:41:15.073429,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
34,DC:A6:32:55:FC:D8,2020-07-12 20:41:16.674695,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
35,DC:A6:32:55:FC:D8,2020-07-12 20:41:17.054687,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64
36,DC:A6:32:55:FC:D8,2020-07-12 20:41:19.059750,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-55
37,DC:A6:32:55:FC:D8,2020-07-12 20:41:20.754587,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
38,DC:A6:32:55:FC:D8,2020-07-12 20:41:21.589504,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-63
39,DC:A6:32:55:FC:D8,2020-07-12 20:41:22.028270,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-64
