SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 17:32:12.266509,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
1,DC:A6:32:55:FC:D8,2020-07-12 17:32:14.270942,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70
2,DC:A6:32:55:FC:D8,2020-07-12 17:32:16.275980,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67
3,DC:A6:32:55:FC:D8,2020-07-12 17:32:17.200265,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
4,DC:A6:32:55:FC:D8,2020-07-12 17:32:18.213417,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
5,DC:A6:32:55:FC:D8,2020-07-12 17:32:20.217909,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
6,DC:A6:32:55:FC:D8,2020-07-12 17:32:21.048381,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
7,DC:A6:32:55:FC:D8,2020-07-12 17:32:22.335460,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
8,DC:A6:32:55:FC:D8,2020-07-12 17:32:23.031011,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69
9,DC:A6:32:55:FC:D8,2020-07-12 17:32:24.038451,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69
10,DC:A6:32:55:FC:D8,2020-07-12 17:32:26.043603,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
11,DC:A6:32:55:FC:D8,2020-07-12 17:32:28.048627,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69
12,DC:A6:32:55:FC:D8,2020-07-12 17:32:29.008007,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68
13,DC:A6:32:55:FC:D8,2020-07-12 17:32:31.012469,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-73
14,DC:A6:32:55:FC:D8,2020-07-12 17:32:32.004837,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67
15,DC:A6:32:55:FC:D8,2020-07-12 17:32:34.009984,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
16,DC:A6:32:55:FC:D8,2020-07-12 17:32:36.015087,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
17,DC:A6:32:55:FC:D8,2020-07-12 17:32:38.020033,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
18,DC:A6:32:55:FC:D8,2020-07-12 17:32:40.025034,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
19,DC:A6:32:55:FC:D8,2020-07-12 17:32:41.161394,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69
20,DC:A6:32:55:FC:D8,2020-07-12 17:32:43.166386,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
21,DC:A6:32:55:FC:D8,2020-07-12 17:32:44.221307,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67
22,DC:A6:32:55:FC:D8,2020-07-12 17:32:45.257693,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
23,DC:A6:32:55:FC:D8,2020-07-12 17:32:46.091408,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
24,DC:A6:32:55:FC:D8,2020-07-12 17:32:47.140156,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68
25,DC:A6:32:55:FC:D8,2020-07-12 17:32:49.145326,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66
26,DC:A6:32:55:FC:D8,2020-07-12 17:32:50.010241,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67
27,DC:A6:32:55:FC:D8,2020-07-12 17:32:51.210316,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67
28,DC:A6:32:55:FC:D8,2020-07-12 17:32:53.214761,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
29,DC:A6:32:55:FC:D8,2020-07-12 17:32:54.204058,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
30,DC:A6:32:55:FC:D8,2020-07-12 17:32:56.209201,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71
31,DC:A6:32:55:FC:D8,2020-07-12 17:32:58.214175,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70
32,DC:A6:32:55:FC:D8,2020-07-12 17:32:59.434828,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69
33,DC:A6:32:55:FC:D8,2020-07-12 17:33:00.814264,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-74
34,DC:A6:32:55:FC:D8,2020-07-12 17:33:01.115479,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67
35,DC:A6:32:55:FC:D8,2020-07-12 17:33:03.120583,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
36,DC:A6:32:55:FC:D8,2020-07-12 17:33:05.125681,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69
37,DC:A6:32:55:FC:D8,2020-07-12 17:33:06.083065,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-65
38,DC:A6:32:55:FC:D8,2020-07-12 17:33:08.088149,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68
39,DC:A6:32:55:FC:D8,2020-07-12 17:33:09.311917,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72
40,DC:A6:32:55:FC:D8,2020-07-12 17:33:10.044997,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69
41,DC:A6:32:55:FC:D8,2020-07-12 17:33:12.049487,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70
