SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 20:56:25.353454,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70
1,DC:A6:32:55:FC:D8,2020-07-12 20:56:26.073362,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
2,DC:A6:32:55:FC:D8,2020-07-12 20:56:28.078356,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72
3,DC:A6:32:55:FC:D8,2020-07-12 20:56:29.018146,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-61
4,DC:A6:32:55:FC:D8,2020-07-12 20:56:30.036301,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
5,DC:A6:32:55:FC:D8,2020-07-12 20:56:31.256891,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
6,DC:A6:32:55:FC:D8,2020-07-12 20:56:33.261759,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
7,DC:A6:32:55:FC:D8,2020-07-12 20:56:35.270385,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
8,DC:A6:32:55:FC:D8,2020-07-12 20:56:37.275224,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
9,DC:A6:32:55:FC:D8,2020-07-12 20:56:38.227714,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69
10,DC:A6:32:55:FC:D8,2020-07-12 20:56:40.003764,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72
11,DC:A6:32:55:FC:D8,2020-07-12 20:56:41.054406,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
12,DC:A6:32:55:FC:D8,2020-07-12 20:56:42.129948,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74
13,DC:A6:32:55:FC:D8,2020-07-12 20:56:43.206291,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
14,DC:A6:32:55:FC:D8,2020-07-12 20:56:44.548579,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
15,DC:A6:32:55:FC:D8,2020-07-12 20:56:45.116016,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
16,DC:A6:32:55:FC:D8,2020-07-12 20:56:46.209425,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74
17,DC:A6:32:55:FC:D8,2020-07-12 20:56:48.214688,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
18,DC:A6:32:55:FC:D8,2020-07-12 20:56:49.016984,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70
19,DC:A6:32:55:FC:D8,2020-07-12 20:56:51.021968,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-60
20,DC:A6:32:55:FC:D8,2020-07-12 20:56:53.026946,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
21,DC:A6:32:55:FC:D8,2020-07-12 20:56:54.126833,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-60
22,DC:A6:32:55:FC:D8,2020-07-12 20:56:56.131055,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70
23,DC:A6:32:55:FC:D8,2020-07-12 20:56:57.474100,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
24,DC:A6:32:55:FC:D8,2020-07-12 20:56:58.020341,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74
25,DC:A6:32:55:FC:D8,2020-07-12 20:56:59.806517,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-60
26,DC:A6:32:55:FC:D8,2020-07-12 20:57:00.046336,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70
27,DC:A6:32:55:FC:D8,2020-07-12 20:57:01.166363,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-58
28,DC:A6:32:55:FC:D8,2020-07-12 20:57:03.171354,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
29,DC:A6:32:55:FC:D8,2020-07-12 20:57:05.176262,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74
30,DC:A6:32:55:FC:D8,2020-07-12 20:57:07.180397,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
31,DC:A6:32:55:FC:D8,2020-07-12 20:57:08.207282,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
32,DC:A6:32:55:FC:D8,2020-07-12 20:57:10.212166,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
33,DC:A6:32:55:FC:D8,2020-07-12 20:57:11.615827,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
34,DC:A6:32:55:FC:D8,2020-07-12 20:57:12.858288,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71
35,DC:A6:32:55:FC:D8,2020-07-12 20:57:13.065715,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
36,DC:A6:32:55:FC:D8,2020-07-12 20:57:14.318093,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
37,DC:A6:32:55:FC:D8,2020-07-12 20:57:15.156826,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
38,DC:A6:32:55:FC:D8,2020-07-12 20:57:16.394271,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
39,DC:A6:32:55:FC:D8,2020-07-12 20:57:18.399206,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-59
40,DC:A6:32:55:FC:D8,2020-07-12 20:57:19.239022,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74
41,DC:A6:32:55:FC:D8,2020-07-12 20:57:21.243963,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-74
42,DC:A6:32:55:FC:D8,2020-07-12 20:57:22.171375,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73
43,DC:A6:32:55:FC:D8,2020-07-12 20:57:24.176375,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70
