SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:D8,2020-07-12 16:07:18.491277,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
1,DC:A6:32:55:FC:D8,2020-07-12 16:07:19.236295,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
2,DC:A6:32:55:FC:D8,2020-07-12 16:07:21.241549,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-76
3,DC:A6:32:55:FC:D8,2020-07-12 16:07:23.246498,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
4,DC:A6:32:55:FC:D8,2020-07-12 16:07:25.250828,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-79
5,DC:A6:32:55:FC:D8,2020-07-12 16:07:27.256509,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
6,DC:A6:32:55:FC:D8,2020-07-12 16:07:29.261605,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-76
7,DC:A6:32:55:FC:D8,2020-07-12 16:07:30.451632,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
8,DC:A6:32:55:FC:D8,2020-07-12 16:07:31.035201,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-80
9,DC:A6:32:55:FC:D8,2020-07-12 16:07:33.040299,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
10,DC:A6:32:55:FC:D8,2020-07-12 16:07:35.045433,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
11,DC:A6:32:55:FC:D8,2020-07-12 16:07:37.050375,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
12,DC:A6:32:55:FC:D8,2020-07-12 16:07:38.606639,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
13,DC:A6:32:55:FC:D8,2020-07-12 16:07:39.969085,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
14,DC:A6:32:55:FC:D8,2020-07-12 16:07:40.031515,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
15,DC:A6:32:55:FC:D8,2020-07-12 16:07:41.060410,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
16,DC:A6:32:55:FC:D8,2020-07-12 16:07:43.065370,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
17,DC:A6:32:55:FC:D8,2020-07-12 16:07:45.070411,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-79
18,DC:A6:32:55:FC:D8,2020-07-12 16:07:47.075497,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
19,DC:A6:32:55:FC:D8,2020-07-12 16:07:49.079883,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
20,DC:A6:32:55:FC:D8,2020-07-12 16:07:51.085639,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
21,DC:A6:32:55:FC:D8,2020-07-12 16:07:53.090553,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-76
22,DC:A6:32:55:FC:D8,2020-07-12 16:07:55.095527,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
23,DC:A6:32:55:FC:D8,2020-07-12 16:07:57.100660,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
24,DC:A6:32:55:FC:D8,2020-07-12 16:07:59.105687,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
25,DC:A6:32:55:FC:D8,2020-07-12 16:08:00.508212,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
26,DC:A6:32:55:FC:D8,2020-07-12 16:08:02.513255,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
27,DC:A6:32:55:FC:D8,2020-07-12 16:08:04.518235,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
28,DC:A6:32:55:FC:D8,2020-07-12 16:08:06.522651,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
29,DC:A6:32:55:FC:D8,2020-07-12 16:08:07.708271,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
30,DC:A6:32:55:FC:D8,2020-07-12 16:08:09.603301,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-79
31,DC:A6:32:55:FC:D8,2020-07-12 16:08:10.234551,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-79
32,DC:A6:32:55:FC:D8,2020-07-12 16:08:12.239609,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
33,DC:A6:32:55:FC:D8,2020-07-12 16:08:13.147080,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
34,DC:A6:32:55:FC:D8,2020-07-12 16:08:14.398334,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
35,DC:A6:32:55:FC:D8,2020-07-12 16:08:16.402831,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-78
36,DC:A6:32:55:FC:D8,2020-07-12 16:08:18.034570,fc7feca0-c477-11ea-962f-dca63255fcd7,1,1,1,-77
