SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE
0,DC:A6:32:55:FC:D8,2020-07-12 22:12:07.519001,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-80,2.5
1,DC:A6:32:55:FC:D8,2020-07-12 22:12:08.736175,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,2.5
2,DC:A6:32:55:FC:D8,2020-07-12 22:12:09.022238,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,2.5
3,DC:A6:32:55:FC:D8,2020-07-12 22:12:11.026187,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
4,DC:A6:32:55:FC:D8,2020-07-12 22:12:13.031129,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.5
5,DC:A6:32:55:FC:D8,2020-07-12 22:12:15.036299,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.5
6,DC:A6:32:55:FC:D8,2020-07-12 22:12:16.826318,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78,2.5
7,DC:A6:32:55:FC:D8,2020-07-12 22:12:17.096159,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,2.5
8,DC:A6:32:55:FC:D8,2020-07-12 22:12:19.104690,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,2.5
9,DC:A6:32:55:FC:D8,2020-07-12 22:12:20.076317,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,2.5
10,DC:A6:32:55:FC:D8,2020-07-12 22:12:21.043871,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,2.5
11,DC:A6:32:55:FC:D8,2020-07-12 22:12:22.522613,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,2.5
12,DC:A6:32:55:FC:D8,2020-07-12 22:12:23.113237,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,2.5
13,DC:A6:32:55:FC:D8,2020-07-12 22:12:25.117149,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,2.5
14,DC:A6:32:55:FC:D8,2020-07-12 22:12:26.313991,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
15,DC:A6:32:55:FC:D8,2020-07-12 22:12:28.319038,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.5
16,DC:A6:32:55:FC:D8,2020-07-12 22:12:29.571569,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
17,DC:A6:32:55:FC:D8,2020-07-12 22:12:30.014050,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,2.5
18,DC:A6:32:55:FC:D8,2020-07-12 22:12:32.019231,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
19,DC:A6:32:55:FC:D8,2020-07-12 22:12:34.024212,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,2.5
20,DC:A6:32:55:FC:D8,2020-07-12 22:12:35.067345,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.5
21,DC:A6:32:55:FC:D8,2020-07-12 22:12:36.384334,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-69,2.5
22,DC:A6:32:55:FC:D8,2020-07-12 22:12:38.086869,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,2.5
23,DC:A6:32:55:FC:D8,2020-07-12 22:12:40.091902,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
24,DC:A6:32:55:FC:D8,2020-07-12 22:12:42.097030,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,2.5
25,DC:A6:32:55:FC:D8,2020-07-12 22:12:43.021994,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-76,2.5
26,DC:A6:32:55:FC:D8,2020-07-12 22:12:44.684589,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-73,2.5
27,DC:A6:32:55:FC:D8,2020-07-12 22:12:45.267058,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-81,2.5
28,DC:A6:32:55:FC:D8,2020-07-12 22:12:47.272153,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
29,DC:A6:32:55:FC:D8,2020-07-12 22:12:48.086022,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
30,DC:A6:32:55:FC:D8,2020-07-12 22:12:49.173411,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
31,DC:A6:32:55:FC:D8,2020-07-12 22:12:51.178592,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.5
32,DC:A6:32:55:FC:D8,2020-07-12 22:12:53.183647,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.5
33,DC:A6:32:55:FC:D8,2020-07-12 22:12:54.013534,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,2.5
34,DC:A6:32:55:FC:D8,2020-07-12 22:12:56.018658,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,2.5
35,DC:A6:32:55:FC:D8,2020-07-12 22:12:57.323651,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-78,2.5
36,DC:A6:32:55:FC:D8,2020-07-12 22:12:59.328739,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.5
37,DC:A6:32:55:FC:D8,2020-07-12 22:13:00.342518,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-77,2.5
38,DC:A6:32:55:FC:D8,2020-07-12 22:13:02.019962,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-72,2.5
39,DC:A6:32:55:FC:D8,2020-07-12 22:13:04.025093,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-70,2.5
40,DC:A6:32:55:FC:D8,2020-07-12 22:13:05.037643,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-71,2.5
41,DC:A6:32:55:FC:D8,2020-07-12 22:13:07.042765,949e9862-c49e-11ea-8625-dca63255fcd7,1,1,1,-79,2.5
